
HNT|    Fences and Shelters|         7|   Hidden Shelter (5ppl)  12 pts|           Roll:4hrs, Dur:1day/Tier, AoE:3x3, Stk:3.
HNT|    Creations|                   7|   Create Repellent Oil   12 pts|           Roll:4hrs, 1d3 bottles, repell insects,

HNT|    Battle Offense|              7|   Held Shot              8 pts|            ToHIT & Dmg +6 per held attack (Max +24), Move @ 1/2.|
HNT|    Creations|                   8|                          16 pts|           |
HNT|    Battle Offense|              8|   Critical Shot @ 19-20  8 pts|            Dur:4hrs, Stk:1, 1 Selected weapon,

HNT|    Natural Environment|         8|   Coastal Net Fishing    8 pts|            Roll:16hrs, AoE:Ocean.  NOT A SOLO SKILL.
HNT|    Traveling (PMP)|             9|   1000 Yard Stare        12 pts|           Roll:10min, Dur:20hr, Self, Max:3days.
HNT|    Traveling (PMP)|             9|   Cover Trail            12 pts|           Roll:12hr, Touch, AoE:1 mark. 1/2 speed,

HNT|    Creations|                   10|  Creatte Maidens Breath 18 pts|           Roll:4hrs, 1d3 packets, Out of stun/daze.
HNT|    Battle Offense|              10|  Blunted Bow Shots      12 pts|           Dur:4rds, Crit rolls on Blunt col, Full dmg initially, after battle 1/2 remains.|
HNT|    Battle Offense|              11|  Mounted Melee Attack   12 pts|           Dur:Battle, AoE:Trained Mount, Single handed wpns, Sm shld/Buckler, 2 attks max.|

HNT|    Creations|                   11|  Create Aelenes Tea     16 pts|           Roll:4hrs, 1d3 bags,  Aids Sleep,
HNT|    Creations|                   11|  Create Java Meal Spice 24 pts|           Roll:4hr,  1d3 servings, All day awake.
HNT|    Battle Offense|              12|  Moving Target Shot     12 pts|           Bow/Crossbow needed.

HNT|    Traveling (PMP)|             12|  Find Wilderness Trail  12 pts|           Roll:12hr, Touch, AoE:1 mark. 1/2 speed,
HNT|    Battle Offense|              13|  Ranged Sucker Shots    16 pts|           AoE:Unaware Target, Bow Required, Attks@1/2, Init/ToHIT,Dmg +12.|
HNT|    Nae'Ems|                     14|  Bestow House Authority 48 pts|           Roll:1wk, Rng:Recipient. Creates a House connection that senses loyalty levels.|

HNT|    Battle Offense|              15|  Unstable Shooting      16 pts|           Concentration required. Dist:@ 1/2.
HNT|    Battle Actions/Prep|         16|  Quick Ranged Shot      16 pts|           Roll:Pre-Battle, AoE:1 Creature. Starts battle.JUST 1 attk. Init+15, HIT & Dmg +5.|
